unique_values,counts
['Drug - decreases activity of - Protein - positively correlated with - ChemicalSubstance - positively regulates - BiologicalProcess - contributes to - Disease'],5
"['Drug - disrupts - CellularComponent - occurs in - OrganismTaxon - causes - Disease', 'Drug - capable of - MolecularActivity - occurs in - OrganismTaxon - causes - Disease']",5
"['Drug - negatively correlated with - MolecularActivity - increases activity of - Cell - positively regulates - BiologicalProcess - negatively correlated with - Disease', 'Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - negatively correlated with - Disease', 'Drug - positively regulates - BiologicalProcess - negatively correlated with - Disease', 'Drug - molecularly interacts with - ChemicalSubstance - positively correlated with - BiologicalProcess - negatively correlated with - Disease']",5
['Drug - increases activity of - GeneFamily - positively regulates - BiologicalProcess - positively correlated with - Disease'],5
"['Drug - decreases activity of - GeneFamily - participates in - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease', 'Drug - increases activity of - Protein - negatively regulates - BiologicalProcess - occurs in - OrganismTaxon - causes - Disease']",5
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - occurs in - GrossAnatomicalStructure - location of - Disease'],5
"['Drug - decreases activity of - Protein - participates in - MolecularActivity - participates in - BiologicalProcess - positively correlated with - Disease', 'Drug - negatively regulates - BiologicalProcess - positively correlated with - Disease']",5
"['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - Disease', 'Drug - decreases activity of - GeneFamily - positively regulates - BiologicalProcess - positively correlated with - Disease']",5
"['Drug - negatively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - causes - Disease', 'Drug - directly interacts with - ChemicalSubstance - participates in - BiologicalProcess - positively correlated with - PhenotypicFeature - causes - Disease']",5
"['Drug - disrupts - ChemicalSubstance - located in - CellularComponent - in taxon - OrganismTaxon - causes - Disease', 'Drug - disrupts - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease']",5
['Drug - decreases activity of - Protein - positively regulates - BiologicalProcess - has phenotype - PhenotypicFeature - positively correlated with - Disease'],5
['Drug - increases activity of - Protein - negatively regulates - BiologicalProcess - located in - GrossAnatomicalStructure - location of - Disease'],5
['Drug - increases activity of - Protein - increases abundance of - ChemicalSubstance - contributes to - BiologicalProcess - causes - Disease'],5
['Drug - disrupts - CellularComponent - in taxon - OrganismTaxon - causes - Disease'],5
['Drug - negatively regulates - Protein - participates in - Pathway - positively correlated with - BiologicalProcess - positively correlated with - PhenotypicFeature - positively correlated with - Disease'],5
"['Drug - decreases activity of - Protein - participates in - Pathway - positively regulates - BiologicalProcess - positively regulates - PhenotypicFeature - manifestation of - Disease', 'Drug - decreases activity of - Protein - participates in - Pathway - positively regulates - BiologicalProcess - causes - Disease']",5
['Drug - decreases activity of - Protein - positively regulates - MolecularActivity - positively regulates - BiologicalProcess - positively correlated with - ChemicalSubstance - contributes to - Disease'],5
['Drug - decreases activity of - Protein - participates in - BiologicalProcess - negatively correlated with - Disease'],5
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - has phenotype - PhenotypicFeature - contributes to - Disease'],5
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - occurs in - GrossAnatomicalStructure - location of - PhenotypicFeature - positively correlated with - Disease'],5
"['Drug - increases activity of - Protein - increases abundance of - ChemicalSubstance - positively correlated with - BiologicalProcess - positively regulates - Cell - positively correlated with - Disease', 'Drug - increases activity of - Protein - participates in - BiologicalProcess - positively regulates - Cell - positively correlated with - Disease']",5
['Drug - decreases activity of - GeneFamily - positively regulates - BiologicalProcess - positively correlated with - Disease'],5
['Drug - decreases activity of - Protein - participates in - BiologicalProcess - negatively regulates - Disease'],5
['Drug - has metabolite - ChemicalSubstance - positively regulates - BiologicalProcess - contributes to - Disease'],5
['Drug - has metabolite - ChemicalSubstance - increases activity of - GeneFamily - participates in - MolecularActivity - positively correlated with - BiologicalProcess - positively correlated with - Disease'],5
['Drug - increases activity of - Protein - positively regulates - BiologicalProcess - has phenotype - PhenotypicFeature - located in - GrossAnatomicalStructure - location of - Disease'],5
['Drug - increases activity of - Protein - participates in - BiologicalProcess - decreases abundance of - ChemicalSubstance - positively correlated with - Disease'],4
['Drug - increases activity of - Protein - increases activity of - GeneFamily - increases abundance of - ChemicalSubstance - negatively correlated with - BiologicalProcess - occurs in - GrossAnatomicalStructure - affected by - Disease'],4
['Drug - increases activity of - Protein - increases activity of - ChemicalSubstance - negatively regulates - GeneFamily - positively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - contributes to - Disease'],4
"['Drug - disrupts - CellularComponent - location of - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease', 'Drug - negatively regulates - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease']",4
"['Drug - increases activity of - Protein - participates in - BiologicalProcess - causes - Disease', 'Drug - increases activity of - Protein - increases abundance of - ChemicalSubstance - negatively regulates - BiologicalProcess - causes - Disease']",4
['Drug - decreases activity of - GeneFamily - positively regulates - BiologicalProcess - contributes to - PhenotypicFeature - positively correlated with - Disease'],4
['Drug - decreases activity of - GeneFamily - positively regulates - BiologicalProcess - occurs in - Cell - participates in - Disease'],4
"['Drug - decreases activity of - Protein - positively correlated with - ChemicalSubstance - positively correlated with - BiologicalProcess - disrupted by - Disease', 'Drug - decreases activity of - Protein - positively correlated with - PhenotypicFeature - manifestation of - Disease']",4
['Drug - has metabolite - ChemicalSubstance - increases activity of - Protein - positively regulates - BiologicalProcess - positively correlated with - Disease'],4
['Drug - increases abundance of - ChemicalSubstance - positively correlated with - Disease'],4
['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - increases abundance of - GrossAnatomicalStructure - positively correlated with - PhenotypicFeature - positively correlated with - Disease'],4
['Drug - increases activity of - Protein - positively correlated with - BiologicalProcess - negatively correlated with - Disease'],4
['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - occurs in - OrganismTaxon - positively correlated with - Disease'],4
['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - precedes - PhenotypicFeature - manifestation of - Disease'],4
['Drug - negatively regulates - Protein - negatively regulates - ChemicalSubstance - negatively regulates - BiologicalProcess - positively correlated with - PhenotypicFeature - positively correlated with - Disease'],4
['Drug - has metabolite - ChemicalSubstance - decreases activity of - GeneFamily - positively correlated with - BiologicalProcess - in taxon - OrganismTaxon - causes - Disease'],4
['Drug - negatively regulates - Protein - positively regulates - BiologicalProcess - increases abundance of - ChemicalSubstance - positively correlated with - Disease'],4
